20210607
menu_vp001.arc,[CM3D2 Append][Visual Pack]
bg_yomeidokanteidan_accset.arc,[COMXCM][S-Court CR Shop][Jewelry Box]
menu_yomeidokanteidan_appraiser.arc,[COMXCM][S-Court CR Shop][Appraiser Uniform]
bg_yomeidokanteidan_bladeset.arc,[COMXCM][S-Court CR Shop][Blade Set]
menu_yomeidokanteidan2_godmaid.arc,[COMXCM][S-Court CR Shop][Goddess Maid]
menu_yomeidokanteidan_legendmaid.arc,[COMXCM][S-Court CR Shop][Legendary Maid Set]
menu_yomeidokanteidan_superguneset.arc,[COMXCM][S-Court CR Shop][Luxurious Fantasy Gun Set]
bg_yomeidokanteidan_Jewelrybox_b.arc,[COMXCM][S-Court CR Shop][Luxurious Piercings]
menu_yomeidokanteidan_realguneset.arc,[COMXCM][S-Court CR Shop][Luxurious Real Gun Set]
bg_yomeidokanteidan_swordset.arc,[COMXCM][S-Court CR Shop][Master's Sword]
menu_yomeidokanteidan2_queendevilmaid.arc,[COMXCM][S-Court CR Shop][Queen Devil Maid]
menu_yomeidokanteidan_tshirt.arc,[COMXCM][S-Court CR Shop][T-Shirt]
bg_yomeidokanteidan_coaster.arc,[COMXCM][S-Court CR Shop][Uncle Coaster]
bg_yomeidokanteidan_minimat.arc,[COMXCM][S-Court CR Shop][Uncle Mat]
